PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2044401532,ELECTRICAL WIRING HARNESS,122298,1PV541,2.25,1.484,0.20034
A2044401535,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.085,0.0338
A2044401541,ELECTRICAL WIRING HARNESS,52176,1PV541,2.25,0.261,0.05239
A2044401550,ELECTRICAL WIRING HARNESS,116700,1PV541,2.25,2.203,0.27
A2044401553,ELECTRICAL WIRING HARNESS,81876,1PV541,2.25,0.247,0.016
A2044401554,ELECTRICAL WIRING HARNESS,82224,1PV541,2.25,0.966,0.1156
A2044401635,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.655,0.0336
A2044401650,ELECTRICAL WIRING HARNESS,116700,1PV541,2.25,1.864,0.114
A2044401651,ELECTRICAL WIRING HARNESS,87438,1PV541,2.25,0.517,0.04056
A2044401653,ELECTRICAL WIRING HARNESS,82488,1PV541,2.25,0.26,0.016
A2044401735,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.504,0.02875
A2044401738,ELECTRICAL WIRING HARNESS,26454,1PV541,2.25,0.16,0.0242
A2044401750,ELECTRICAL WIRING HARNESS,98124,1PV541,2.25,1.781,0.144
A2044401751,ELECTRICAL WIRING HARNESS,71046,1PV541,2.25,0.22,0.02646
A2044401753,ELECTRICAL WIRING HARNESS,74994,1PV541,2.25,0.179,0.0182
A2044401754,RS ELECT. WIR. HARNESS,27708,1PV541,2.25,0.061,0.0115
A2044401805,WIRING HARNESS,31896,1PV541,2.25,0.354,0.04704
A2044401835,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.725,0.0405
A2044401850,ELECTRICAL WIRING HARNESS,98124,1PV541,2.25,1.705,0.18
A2044401851,ELECTRICAL WIRING HARNESS,130554,1PV541,2.25,0.846,0.08448
A2044401853,ELECTRICAL WIRING HARNESS,77334,1PV541,2.25,0.2,0.02184
A2044401935,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.517,0.02645
A2044401941,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.528,0.02304
A2044401950,ELECTRICAL WIRING HARNESS,116700,1PV541,2.25,2.164,0.3
A2044401953,ELECTRICAL WIRING HARNESS,54396,1PV541,2.25,2.351,0.1944
A2044402035,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.757,0.033
A2044402041,ELECTRICAL WIRING HARNESS,78444,1PV541,2.25,0.573,0.0288
A2044402050,ELECTRICAL WIRING HARNESS,116700,1PV541,2.25,1.986,0.126
A2044402053,ELECTRICAL WIRING HARNESS,195696,1PV541,2.25,1.927,0.16335
A2044402054,ELECTRICAL WIRING HARNESS,63702,1PV541,2.25,0.34,0.02016
A2044402110,ELECTRICAL WIRING HARNESS,12000,1PV541,2.25,0.043,0.00648
A2044402135,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.299,0.0196
A2044402139,ELECTRICAL WIRING HARNESS,80742,1PV541,2.25,1.063,0.02704
A2044402151,ELECTRICAL WIRING HARNESS,38238,1PV541,2.25,0.653,0.08976
A2044402152,ELECTRICAL WIRING HARNESS,36198,1PV541,2.25,0,0
A2044402205,ELECTRICAL WIRING HARNESS,562686,1PV541,2.25,4.95,0.3264
A204440220564,ELECTRICAL WIRING HARNESS,562686,1PV541,2.25,4.876,0.5076
A2044402207,WIRING HARNESS,38712,1PV541,2.25,0.58,0.024
A2044402210,ELECTRICAL WIRING HARNESS,51336,1PV541,2.25,0.133,0.0165
A2044402232,ELECTRICAL WIRING HARNESS,23286,1PV541,2.25,0.107,0.0124
A2044402234,ELECTRICAL WIRING HARNESS,27234,1PV541,2.25,0.221,0.0333
A2044402235,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.461,0.0364
A2044402238,ELECTRICAL WIRING HARNESS,29934,1PV541,2.25,0,0
A2044402254,ELECTRICAL WIRING HARNESS,60156,1PV541,2.25,0.33,0.023
A2044402305,ELECTRICAL WIRING HARNESS,1742736,1PV541,2.25,1.728,0.14784
A204440230564,ELECTRICAL WIRING HARNESS,1742736,1PV541,2.25,1.728,0.14784
A2044402307,WIRING HARNESS,39720,1PV541,2.25,0.815,0.0468
A2044402310,ELECTRICAL WIRING HARNESS,24330,1PV541,2.25,0.546,0.03864
A2044402334,ELECTRICAL WIRING HARNESS,27234,1PV541,2.25,0.183,0.017
A2044402335,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.53,0.03444
